item_id,shop_id,Brand,sold_quantity,stock, discount_price ,original_price,discount,liked_count,rating_star,number_of_ratings
4242862,1782372,NO BRAND,277,9838,0," 700,000,000 ",0%,88,4.92,12
5825059,1832786,NOKIA,18,46,0," 45,000,000,000 ",0%,32,4.4,5
29520548,461464,NOKIA,31,16,0," 18,500,000,000 ",0%,24,4.88,8
51933973,7309694,PANASONIC,52,50,0," 54,000,000,000 ",0%,1171,5,8
92260136,7330211,NO BRAND,5,40,0," 27,900,000,000 ",0%,15,5,3
105392207,2132261,LG,15,32,0," 249,900,000,000 ",0%,46,4.75,8
145096348,11030,NO BRAND,15,1,0," 90,000,000,000 ",0%,68,5,6
145556798,14053715,MOTOROLA,13,33,0," 110,000,000,000 ",0%,18,4.6,5
155310209,8770330,NO BRAND,52,9985,0," 350,000,000 ",0%,28,4.88,8
171130642,14053715,NOKIA,40,66,0," 19,900,000,000 ",0%,7,4.06,18
205921008,7448424,NO BRAND,65,32,0," 13,900,000,000 ",0%,28,4.36,28
219916886,523938,NO BRAND,102,100,0," 19,900,000,000 ",0%,90,3.7,27
220298068,19004502,NO BRAND,161,1,0," 39,900,000,000 ",0%,5770,4.27,71
228898222,3396089,PANASONIC,14,7,0," 65,000,000,000 ",0%,2,5,9
253146766,19004502,NOKIA,351,99621,0," 15,000,000,000 ",0%,8896,4.11,91
259440434,19004502,NO BRAND,713,9273,0," 13,900,000,000 ",0%,8902,4.49,194
266742761,11030,NO BRAND,17,1,0," 100,000,000,000 ",0%,71,4.71,7
277471141,17707940,NO BRAND,14,986,0," 1,000,000,000 ",0%,3,5,5
289490829,11030,NO BRAND,21,1,0," 190,000,000,000 ",0%,75,4.89,9
295135648,14222192,SAMSUNG,2272,1,0," 25,000,000,000 ",0%,1569,4.44,854
323759971,14180023,SAMSUNG,8,2,0," 110,000,000,000 ",0%,72,4.6,5
350050050,19004502,NO BRAND,38,962,0," 13,900,000,000 ",0%,5718,4.12,17
375676547,1657913,NO BRAND,1436,4939,0," 27,000,000,000 ",0%,22540,4.69,483
378724543,14180023,SAMSUNG,6,1,0," 150,000,000,000 ",0%,14,5,4
378991877,27056484,NO BRAND,36,5,0," 10,000,000,000 ",0%,4,4.4,10
378991895,27056484,NO BRAND,19,19,0," 6,500,000,000 ",0%,0,4.89,9
379033629,27056484,NO BRAND,30,19,0," 7,000,000,000 ",0%,1,3.92,12
379742851,14180023,SAMSUNG,6,2,0," 165,000,000,000 ",0%,69,5,3
398976115,4047586,NOKIA,11,994,0," 30,000,000,000 ",0%,4,4.6,5
411983087,28754626,NO BRAND,25,18,0," 95,000,000,000 ",0%,70,4.5,8
455525062,9473350,NO BRAND,35,9,0," 15,000,000,000 ",0%,14,4.21,14
459490005,27056484,NO BRAND,23,2,0," 5,000,000,000 ",0%,7,4.57,7
492575258,14180023,SAMSUNG,13,5,0," 70,000,000,000 ",0%,19,5,9
541162618,20263686,OPPO,9,3,0," 140,000,000,000 ",0%,62,5,6
554107600,14187460,NO BRAND,14,328,0," 15,900,000,000 ",0%,314,5,3
649174919,38339498,SAMSUNG,5,2,0," 165,000,000,000 ",0%,68,4.5,4
657246709,7309346,NO BRAND,11,47,0," 21,000,000,000 ",0%,2,5,5
665891397,1760986,SAMSUNG,87,20,0," 500,000,000,000 ",0%,13,5,22
718008887,25826831,NO BRAND,118,703,0," 5,000,000,000 ",0%,100,4.9,29
733022910,17376044,HTC,7,21,0," 210,000,000,000 ",0%,217,5,3
733841869,17376044,NO BRAND,67,189,0," 145,000,000,000 ",0%,497,4.86,35
741090336,17376044,SAMSUNG,4,19,0," 150,000,000,000 ",0%,177,5,3
744316571,1657913,NO BRAND,1731,476,0," 11,500,000,000 ",0%,31335,4.52,446
749506393,27056484,NO BRAND,29,10,0," 9,000,000,000 ",0%,2,4.83,6
751054536,25990212,NO BRAND,63,1,0," 209,000,000,000 ",0%,152,4.85,27
761777503,17376044,NOKIA,29,199,0," 28,000,000,000 ",0%,543,4.82,11
761798703,17376044,NOKIA,43,200,0," 29,000,000,000 ",0%,575,4.4,15
769759168,48782032,SAMSUNG,542,722,0," 199,900,000,000 ",0%,3722,5,13
770023992,26444189,NO BRAND,34,10000,0," 80,000,000,000 ",0%,23,5,5
772532188,48168126,NOKIA,13,50,0," 28,500,000,000 ",0%,13,4.5,4
775073402,48810739,SAMSUNG,71,2482,0," 289,900,000,000 ",0%,320,5,4
778268410,48782032,HTC,219,1720,0," 175,000,000,000 ",0%,698,5,2
780749684,48782032,HTC,128,255,0," 189,900,000,000 ",0%,3091,5,7
780815248,48782032,SONY,106,1457,0," 130,000,000,000 ",0%,34,5,5
786717083,48782032,SAMSUNG,3947,25466,0," 199,000,000,000 ",0%,3307,4.68,34
