ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
1,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Văn phòng Quốc hội,"6,143"
2,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Văn phòng Quốc hội,
3,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Văn phòng Quốc hội,
4,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Văn phòng Quốc hội,
5,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Văn phòng Quốc hội,"2,085"
6,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Văn phòng Quốc hội,
7,2004,Chi thường xuyên,Chi đảm bảo xã hội,Văn phòng Quốc hội,
8,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Văn phòng Quốc hội,
9,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Văn phòng Quốc hội,"182,888"
10,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Văn phòng Quốc hội,
11,2004,Chi thường xuyên,Chi khác,Văn phòng Quốc hội,
12,2004,Chi chương trình mục tiêu,,Văn phòng Quốc hội,
13,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Ban Tài chính Quản trị Trung ương,"214,401"
14,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Ban Tài chính Quản trị Trung ương,700
15,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Ban Tài chính Quản trị Trung ương,"116,297"
16,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Ban Tài chính Quản trị Trung ương,
17,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Ban Tài chính Quản trị Trung ương,"23,765"
18,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Ban Tài chính Quản trị Trung ương,
19,2004,Chi thường xuyên,Chi đảm bảo xã hội,Ban Tài chính Quản trị Trung ương,50
20,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Ban Tài chính Quản trị Trung ương,"1,738"
21,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Ban Tài chính Quản trị Trung ương,"249,623"
22,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Ban Tài chính Quản trị Trung ương,250
23,2004,Chi thường xuyên,Chi khác,Ban Tài chính Quản trị Trung ương,
24,2004,Chi chương trình mục tiêu,,Ban Tài chính Quản trị Trung ương,
25,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Văn phòng Chính phủ,"65,020"
26,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Văn phòng Chính phủ,
27,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Văn phòng Chính phủ,197
28,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Văn phòng Chính phủ,
29,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Văn phòng Chính phủ,612
30,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Văn phòng Chính phủ,
31,2004,Chi thường xuyên,Chi đảm bảo xã hội,Văn phòng Chính phủ,
32,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Văn phòng Chính phủ,
33,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Văn phòng Chính phủ,"216,106"
34,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Văn phòng Chính phủ,
35,2004,Chi thường xuyên,Chi khác,Văn phòng Chính phủ,
36,2004,Chi chương trình mục tiêu,,Văn phòng Chính phủ,
37,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Văn phòng Chủ tịch nước,"4,637"
38,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Văn phòng Chủ tịch nước,
39,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Văn phòng Chủ tịch nước,70
40,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Văn phòng Chủ tịch nước,
41,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Văn phòng Chủ tịch nước,
42,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Văn phòng Chủ tịch nước,
43,2004,Chi thường xuyên,Chi đảm bảo xã hội,Văn phòng Chủ tịch nước,
44,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Văn phòng Chủ tịch nước,
45,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Văn phòng Chủ tịch nước,"22,551"
46,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Văn phòng Chủ tịch nước,
47,2004,Chi thường xuyên,Chi khác,Văn phòng Chủ tịch nước,
48,2004,Chi chương trình mục tiêu,,Văn phòng Chủ tịch nước,
49,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Tòa án nhân dân tối cao,"119,736"
50,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Tòa án nhân dân tối cao,
51,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Tòa án nhân dân tối cao,"4,754"
