rank,name,net_worth,bday,age,nationality
1,Elon Musk,$240 Billion,6/28/1971,51,South Africa
2,Jeff Bezos,$150 Billion,1/12/1964,58,United States of America
3,Gautam Adani,$138 Billion,6/24/1962,60,India
4,Bernard Arnault,$135 Billion,3/5/1949,73,France
5,Bill Gates,$118 Billion,10/28/1955,66,United States of America
6,Warren Buffett,$101 Billion,8/30/1930,92,United States of America
7,Larry Page,$100 Billion,3/26/1973,49,United States of America
8,Sergey Brin,$96 Billion,8/21/1973,48,United States of America
9,Steve Ballmer,$94 Billion,3/24/1956,66,United States of America
10,Larry Ellison,$93 Billion,8/17/1944,78,United States of America
11,Alain & Gerard Wertheimer,$90 Billion,9/28/1948,74,France
12,Mukesh Ambani,$89 Billion,4/19/1957,65,India
13,Carlos Slim Helu,$72 Billion,1/28/1940,82,Mexico
14,Vladimir Putin,$70 Billion,10/7/1952,69,Russia
15,Françoise Bettencourt-Meyers,$70 Billion,7/10/1953,69,France
16,Amancio Ortega Gaona,$70 Billion,3/28/1936,86,Spain
17,Michael Bloomberg,$70 Billion,2/14/1942,80,United States of America
18,Mark Zuckerberg,$70 Billion,5/14/1984,38,United States of America
19,Rob Walton,$68 Billion,10/28/1944,77,United States of America
20,Jim Walton,$68 Billion,6/7/1948,74,United States of America
21,Zhong Shanshan,$68 Billion,1/1/1954,68,China
22,Alice Walton,$66 Billion,10/7/1949,72,United States of America
23,Julia Flesher Koch,$62 Billion,4/12/1962,60,United States of America
24,Charles Koch,$60 Billion,11/1/1935,86,United States of America
25,Michael Dell,$52 Billion,2/23/1965,57,United States of America
26,Francois Pinault,$50 Billion,8/21/1936,86,France
27,David Thomson,$50 Billion,6/12/1957,65,Canada
28,Ma Huateng,$48 Billion,10/29/1971,50,China
29,Alain Wertheimer,$45 Billion,9/28/1948,73,France
30,Gerard Wertheimer,$45 Billion,4/17/1951,71,French
31,Zhang Yiming,$44 Billion,4/1/1983,39,China
32,Tadashi Yanai,$42 Billion,2/7/1949,73,Japan
33,John Mars,$42 Billion,10/15/1935,86,United States of America
34,Jacqueline Mars,$42 Billion,10/10/1939,82,United States of America
35,Phil Knight,$40 Billion,2/24/1938,84,United States of America
36,Vladimir Potanin,$35 Billion,1/3/1961,61,Russia
37,Stephen Schwarzman,$35 Billion,2/14/1947,75,United States of America
38,Jack Ma,$34 Billion,10/15/1964,57,China
39,Miriam Adelson,$34 Billion,10/10/1945,76,"American, Israeli"
40,Colin Huang,$33 Billion,1/1/1980,42,China
41,Lee Shau Kee,$33 Billion,3/7/2028,94,China
42,Len Blavatnik,$32 Billion,6/14/1957,65,United Kingdom
