Các tỉnh thành,Mật độ dân số,Dân số trung bình,Tỷ lệ giới tính,Tỷ lệ gia tăng dân số,Lực lương lao động từ 15 tuổi trở lên,Vùng,Năm
Hà Nội,2031.1,6761.3,97.8,1.93,3572.9,Đồng bằng sông Hồng,2011
Vĩnh Phúc,818,1011.4,97.6,0.38,608.3,Đồng bằng sông Hồng,2011
Bắc Ninh,1292.6,1063.4,96.7,1.84,593.5,Đồng bằng sông Hồng,2011
Quảng Ninh,191.4,1168,105.4,0.93,675,Đồng bằng sông Hồng,2011
Hải Dương,1044.6,1729.8,96.1,0.78,1071,Đồng bằng sông Hồng,2011
Hải Phòng,1234,1879.8,98.5,1.19,1075.3,Đồng bằng sông Hồng,2011
Hưng Yên,1229.4,1138.4,97.1,0.54,707.1,Đồng bằng sông Hồng,2011
Thái Bình,1137.5,1785.9,94.6,0.07,1134.2,Đồng bằng sông Hồng,2011
Hà Nam,914.5,786.9,95.5,0.07,464,Đồng bằng sông Hồng,2011
Nam Định,1110.3,1833.5,95.8,0.19,1082.2,Đồng bằng sông Hồng,2011
Ninh Bình,652.9,907.7,99.1,0.66,553,Đồng bằng sông Hồng,2011
Hà Giang,94.3,746.6,99.8,1.75,467.7,Trung du và miền núi phía Bắc,2011
Cao Bằng,76.6,514,98.3,0.18,341.2,Trung du và miền núi phía Bắc,2011
Bắc Kạn,61.8,300.4,102.6,0.99,199.6,Trung du và miền núi phía Bắc,2011
Tuyên Quang,125.3,734.9,100.5,0.76,450.3,Trung du và miền núi phía Bắc,2011
Lào Cai,99.8,637,101.3,1.63,377.8,Trung du và miền núi phía Bắc,2011
Yên Bái,110.2,758.6,99.7,0.98,478.5,Trung du và miền núi phía Bắc,2011
Thái Nguyên,322.6,1139.4,97.2,0.72,687.7,Trung du và miền núi phía Bắc,2011
Lạng Sơn,89,740.8,99.6,0.61,480.1,Trung du và miền núi phía Bắc,2011
Bắc Giang,411.5,1581.8,98.5,0.76,989.4,Trung du và miền núi phía Bắc,2011
Phú Thọ,376.2,1329.3,97.3,0.51,841.3,Trung du và miền núi phía Bắc,2011
Điện Biên,53.4,510.8,100.1,1.92,300.4,Trung du và miền núi phía Bắc,2011
Lai Châu,42.9,389.4,104.7,2.27,224.8,Trung du và miền núi phía Bắc,2011
Sơn La,78.9,1118.6,101,1.79,684,Trung du và miền núi phía Bắc,2011
Hòa Bình,173.4,799,98.3,0.93,536.2,Trung du và miền núi phía Bắc,2011
Thanh Hóa,308.8,3437.7,97.7,0.47,2225.1,Bắc Trung bộ và duyên hải miền Trung,2011
Nghệ An,179.2,2955.9,98.5,0.75,1757.8,Bắc Trung bộ và duyên hải miền Trung,2011
Hà Tĩnh,206.4,1237.8,97.8,0.42,702.3,Bắc Trung bộ và duyên hải miền Trung,2011
Quảng Bình,105.8,853.4,100.1,0.56,484.4,Bắc Trung bộ và duyên hải miền Trung,2011
Quảng Trị,127.6,604.7,97.9,0.51,334,Bắc Trung bộ và duyên hải miền Trung,2011
Thừa Thiên Huế,219.2,1103.1,98,1.12,596.8,Bắc Trung bộ và duyên hải miền Trung,2011
Đà Nẵng,736,946,95.7,2.53,496.2,Bắc Trung bộ và duyên hải miền Trung,2011
Quảng Nam,138.2,1442.7,95.6,0.66,811.6,Bắc Trung bộ và duyên hải miền Trung,2011
Quảng Ngãi,237.8,1225.2,97.3,0.35,711,Bắc Trung bộ và duyên hải miền Trung,2011
Bình Định,247.6,1498.2,95.1,0.42,880.4,Bắc Trung bộ và duyên hải miền Trung,2011
Phú Yên,171.9,870,100.2,0.45,513.1,Bắc Trung bộ và duyên hải miền Trung,2011
Khánh Hòa,224.5,1171.4,98,0.61,656.6,Bắc Trung bộ và duyên hải miền Trung,2011
Ninh Thuận,170.9,574.1,100.9,0.81,317.2,Bắc Trung bộ và duyên hải miền Trung,2011
Bình Thuận,151.6,1184.5,100.9,0.66,664.4,Bắc Trung bộ và duyên hải miền Trung,2011
Kon Tum,46.6,451.6,109.7,2.15,259.7,Tây Nguyên,2011
Gia Lai,85.1,1321.7,103.1,1.55,783.9,Tây Nguyên,2011
Đắk Lắk,134.9,1770.5,101.9,1.02,1012.2,Tây Nguyên,2011
Đắk Nông,79.7,519.6,112.2,3.13,306.6,Tây Nguyên,2011
Lâm Đồng,124.7,1218.7,100.1,1.21,689.1,Tây Nguyên,2011
Bình Phước,130.6,897.3,101.9,1.29,531.7,Đông Nam Bộ,2011
Tây Ninh,267.8,1082,98.2,0.72,644.5,Đông Nam Bộ,2011
Bình Dương,615.8,1659.1,92.7,4.3,1077.6,Đông Nam Bộ,2011
Đồng Nai,446.9,2640.2,96.8,2.67,1553.8,Đông Nam Bộ,2011
Bà Rịa - Vũng Tàu,513.9,1022.5,99.9,1.1,553.9,Đông Nam Bộ,2011
Hồ Chí Minh,3578.2,7498.4,91.1,2.07,4000.9,Đông Nam Bộ,2011
Long An,322.7,1449.9,98.7,0.49,841.7,Đồng bằng sông Cửu Long,2011
Tiền Giang,670.8,1682.6,97.2,0.27,987.7,Đồng bằng sông Cửu Long,2011
Bến Tre,532.7,1257.4,96.3,0.06,777.1,Đồng bằng sông Cửu Long,2011
Trà Vinh,432.7,1013.1,97.1,0.5,616.6,Đồng bằng sông Cửu Long,2011
Vĩnh Long,687.5,1029.1,97.1,0.25,622.8,Đồng bằng sông Cửu Long,2011
Đồng Tháp,495,1671.7,99.3,0.12,994.4,Đồng bằng sông Cửu Long,2011
An Giang,607.6,2149,98.9,0.03,1300.4,Đồng bằng sông Cửu Long,2011
Kiên Giang,269.5,1710.9,101.1,0.72,1008.6,Đồng bằng sông Cửu Long,2011
Cần Thơ,857.3,1208,98.8,0.84,690.7,Đồng bằng sông Cửu Long,2011
Hậu Giang,475.3,761.7,101.6,0.25,456,Đồng bằng sông Cửu Long,2011
Sóc Trăng,392.1,1298.4,98.8,0.21,744.1,Đồng bằng sông Cửu Long,2011
Bạc Liêu,350.3,864.9,99,0.46,514,Đồng bằng sông Cửu Long,2011
Cà Mau,228.5,1210,101,0.13,684.3,Đồng bằng sông Cửu Long,2011
Hà Nội,2065.6,6865.2,95.4,1.54,3702.5,Đồng bằng sông Hồng,2012
Vĩnh Phúc,826.8,1022.4,97.6,1.09,607.2,Đồng bằng sông Hồng,2012
Bắc Ninh,1319.8,1085.8,96.8,2.1,625.3,Đồng bằng sông Hồng,2012
Quảng Ninh,193,1177.7,103.4,0.83,691.9,Đồng bằng sông Hồng,2012
Hải Dương,1051.8,1741.7,96.1,0.69,1060.6,Đồng bằng sông Hồng,2012
Hải Phòng,1249.5,1904.1,98.6,1.29,1089,Đồng bằng sông Hồng,2012
Hưng Yên,1235.5,1144.1,97.5,0.5,702,Đồng bằng sông Hồng,2012
Thái Bình,1138.5,1787.4,93.8,0.08,1113.1,Đồng bằng sông Hồng,2012
Hà Nam,920.6,792.2,96.1,0.68,469.2,Đồng bằng sông Hồng,2012
Nam Định,1110.4,1835.1,95.8,0.09,1112.1,Đồng bằng sông Hồng,2012
Ninh Bình,667.6,919.1,99.3,1.26,553.4,Đồng bằng sông Hồng,2012
Hà Giang,96.2,761.6,99.9,2.01,463.4,Trung du và miền núi phía Bắc,2012
Cao Bằng,76.8,515.2,98.1,0.23,343.8,Trung du và miền núi phía Bắc,2012
Bắc Kạn,62.4,303,102.4,0.86,204.8,Trung du và miền núi phía Bắc,2012
Tuyên Quang,126.3,740.8,100.1,0.8,467,Trung du và miền núi phía Bắc,2012
Lào Cai,101.3,646.5,101.3,1.5,396.7,Trung du và miền núi phía Bắc,2012
Yên Bái,111.2,765.7,99.3,0.93,479.6,Trung du và miền núi phía Bắc,2012
Thái Nguyên,325.1,1149.1,97.2,0.85,716.5,Trung du và miền núi phía Bắc,2012
Lạng Sơn,89.6,745.3,99.8,0.6,488.1,Trung du và miền núi phía Bắc,2012
Bắc Giang,413.9,1592.9,98.4,0.7,999.1,Trung du và miền núi phía Bắc,2012
Phú Thọ,379.5,1340.8,97.3,0.86,855.1,Trung du và miền núi phía Bắc,2012
Điện Biên,54.3,519.7,100.2,1.74,306.4,Trung du và miền núi phía Bắc,2012
Lai Châu,43.8,397.3,104.9,2.03,238.2,Trung du và miền núi phía Bắc,2012
Sơn La,80,1134.4,101,1.41,710.9,Trung du và miền núi phía Bắc,2012
Hòa Bình,174.7,805.2,98.2,0.77,539.6,Trung du và miền núi phía Bắc,2012
Thanh Hóa,310.6,3457.9,97.6,0.59,2138.1,Bắc Trung bộ và duyên hải miền Trung,2012
Nghệ An,180.9,2983.3,98.4,0.92,1826.3,Bắc Trung bộ và duyên hải miền Trung,2012
Hà Tĩnh,207.3,1243.2,97.7,0.44,706.4,Bắc Trung bộ và duyên hải miền Trung,2012
Quảng Bình,106.4,858.3,100.1,0.57,513.8,Bắc Trung bộ và duyên hải miền Trung,2012
Quảng Trị,128.3,608.2,98.1,0.57,332.4,Bắc Trung bộ và duyên hải miền Trung,2012
Thừa Thiên Huế,221.3,1113.9,97.8,0.98,614.8,Bắc Trung bộ và duyên hải miền Trung,2012
Đà Nẵng,751.8,966.3,97.3,2.14,508.8,Bắc Trung bộ và duyên hải miền Trung,2012
Quảng Nam,139.2,1452.9,95.7,0.71,838.7,Bắc Trung bộ và duyên hải miền Trung,2012
Quảng Ngãi,238.7,1229.8,97.3,0.37,725.7,Bắc Trung bộ và duyên hải miền Trung,2012
Bình Định,248.3,1502.4,95.1,0.28,893.9,Bắc Trung bộ và duyên hải miền Trung,2012
Phú Yên,173.1,876.1,100.2,0.7,540.5,Bắc Trung bộ và duyên hải miền Trung,2012
Khánh Hòa,226.2,1180.1,97.7,0.75,650.7,Bắc Trung bộ và duyên hải miền Trung,2012
Ninh Thuận,172.5,579.4,101.6,0.91,318.1,Bắc Trung bộ và duyên hải miền Trung,2012
Bình Thuận,152.5,1191.6,101.1,0.6,701.1,Bắc Trung bộ và duyên hải miền Trung,2012
Kon Tum,47.8,462.7,113.5,2.46,265,Tây Nguyên,2012
Gia Lai,86.3,1340.5,104.3,1.42,797.3,Tây Nguyên,2012
Đắk Lắk,136.5,1791.4,101.8,1.18,1033.1,Tây Nguyên,2012
Đắk Nông,82.4,536.7,114.1,3.3,320.7,Tây Nguyên,2012
Lâm Đồng,126.1,1232,100.1,1.09,720.4,Tây Nguyên,2012
Bình Phước,132.3,908.9,101.9,1.29,568.4,Đông Nam Bộ,2012
Tây Ninh,269.7,1089.7,97.7,0.71,649.2,Đông Nam Bộ,2012
Bình Dương,642.4,1731,93.1,4.33,1147.2,Đông Nam Bộ,2012
Đồng Nai,458.4,2707.8,96.2,2.56,1585,Đông Nam Bộ,2012
Bà Rịa - Vũng Tàu,519.2,1033,99.8,1.03,567.8,Đông Nam Bộ,2012
Hồ Chí Minh,3655.4,7660.3,93.1,2.16,4086.4,Đông Nam Bộ,2012
Long An,325.1,1460.3,98.7,0.72,894.2,Đồng bằng sông Cửu Long,2012
Tiền Giang,674.8,1692.5,96.2,0.59,1029.4,Đồng bằng sông Cửu Long,2012
Bến Tre,534,1258.9,96.1,0.12,770.8,Đồng bằng sông Cửu Long,2012
Trà Vinh,435,1018.4,97,0.52,604.4,Đồng bằng sông Cửu Long,2012
Vĩnh Long,687.4,1034.5,97.2,0.53,619.1,Đồng bằng sông Cửu Long,2012
Đồng Tháp,496,1675,99.2,0.2,985.2,Đồng bằng sông Cửu Long,2012
An Giang,608.3,2151.2,98.9,0.1,1304.4,Đồng bằng sông Cửu Long,2012
Kiên Giang,271.5,1723.8,101,0.76,1036.8,Đồng bằng sông Cửu Long,2012
Cần Thơ,864.7,1218.3,98.9,0.85,698.9,Đồng bằng sông Cửu Long,2012
Hậu Giang,476.6,763.8,101.6,0.28,456.4,Đồng bằng sông Cửu Long,2012
Sóc Trăng,393,1301.5,98.7,0.24,749.4,Đồng bằng sông Cửu Long,2012
Bạc Liêu,352.1,869.3,98.9,0.5,516,Đồng bằng sông Cửu Long,2012
Cà Mau,228.9,1212.1,100.8,0.17,697.7,Đồng bằng sông Cửu Long,2012
Hà Nội,2098.8,6977,96.4,1.63,3799.6,Đồng bằng sông Hồng,2013
Vĩnh Phúc,831.1,1029.4,97.6,0.68,613.2,Đồng bằng sông Hồng,2013
Bắc Ninh,1347,1108.2,96.6,2.06,642.1,Đồng bằng sông Hồng,2013
Quảng Ninh,194.6,1187.5,106,0.82,711.4,Đồng bằng sông Hồng,2013
Hải Dương,1057.9,1751.8,95.7,0.58,1077,Đồng bằng sông Hồng,2013
Hải Phòng,1260.4,1925.2,98.7,1.11,1125.6,Đồng bằng sông Hồng,2013
Hưng Yên,1243.6,1151.6,97.6,0.66,708.3,Đồng bằng sông Hồng,2013
Thái Bình,1138.6,1788.1,93.7,0.04,1103.6,Đồng bằng sông Hồng,2013
Hà Nam,925,796,96.8,0.48,473.7,Đồng bằng sông Hồng,2013
Nam Định,1113.2,1839.9,96,0.26,1145.4,Đồng bằng sông Hồng,2013
Ninh Bình,672.8,927.2,99.1,0.87,584.1,Đồng bằng sông Hồng,2013
Hà Giang,98,775.8,100.6,1.86,499.1,Trung du và miền núi phía Bắc,2013
Cao Bằng,77.2,517.9,98,0.53,356.1,Trung du và miền núi phía Bắc,2013
Bắc Kạn,62.8,305.2,103.1,0.7,214.9,Trung du và miền núi phía Bắc,2013
Tuyên Quang,127.3,747.2,99.7,0.87,479.1,Trung du và miền núi phía Bắc,2013
